sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_radv
1,3,G8 IV/V,5430.00,1.71,1.05,0.200,[Fe/H],0.356,3.99,9.000,0.29800,2.1000,22.36
1,3,G8 IV/V,5430.00,1.71,1.05,0.200,[Fe/H],0.356,3.99,9.000,0.29800,2.1000,22.36
1,3,G8 IV/V,5430.00,1.71,1.05,0.200,[Fe/H],0.356,3.99,9.000,0.29800,2.1000,22.36
1,1,M7.25,2838.00,,0.05,,,-0.699,,0.001,,,
1,2,M4.0 V,3326.00,0.30,0.30,0.100,[Fe/H],-1.972,4.85,,13.25922,2.0000,
1,2,M4.0 V,3326.00,0.30,0.30,0.100,[Fe/H],-1.972,4.85,,13.25922,2.0000,
1,1,M2.5 V,3348.00,0.31,0.29,0.040,[Fe/H],-1.971,4.93,9.900,14.11000,2.0000,14.65
1,3,M5.5 V,2953.00,0.16,0.12,-0.080,[Fe/H],-2.770,5.16,7.000,47.56190,2.5000,1.06
1,3,M5.5 V,2953.00,0.16,0.12,-0.080,[Fe/H],-2.770,5.16,7.000,47.56190,2.5000,1.06
1,3,M5.5 V,2953.00,0.16,0.12,-0.080,[Fe/H],-2.770,5.16,7.000,47.56190,2.5000,1.06
1,2,M4.5 V,3270.00,0.21,0.18,-0.120,[Fe/H],-2.359,4.88,5.000,15.40000,2.0000,35.08
1,2,M4.5 V,3270.00,0.21,0.18,-0.120,[Fe/H],-2.359,5.02,5.000,23.78462,2.0000,35.08
1,2,M5,3287.00,0.36,0.34,0.160,[Fe/H],-1.869,4.87,,10.52554,,-9.10
1,2,M5,3287.00,0.36,0.34,0.160,[Fe/H],-1.869,4.87,,10.52554,,-9.10
1,1,M4.5,3114.00,0.20,0.17,,,-2.463,5.06,,29.34709,,
1,1,M4.5,3026.00,0.22,0.15,0.390,[Fe/H],-2.312,4.94,3.000,26.20204,2.0000,-21.10
1,1,M3,3458.00,0.39,0.38,0.100,[Fe/H],-1.708,4.89,,8.99304,,7.48
1,1,M4.5 V,3236.00,0.19,0.18,-0.040,[Fe/H],-2.439,5.09,,,2.0000,-24.30
1,2,K4.5,4640.00,0.69,0.73,0.003,[Fe/H],-0.686,4.61,3.800,3.03000,,59.46
2,2,M1,3607.00,0.38,0.38,-0.340,[Fe/H],-1.655,4.87,,8.37411,1.0900,11.30
2,2,M1,3607.00,0.38,0.38,-0.340,[Fe/H],-1.655,4.87,,8.37411,1.0900,11.30
1,1,M0 V,4347.00,0.66,0.69,,,-0.796,4.61,,3.12966,,24.87
1,3,M,3500.00,0.41,0.40,0.100,[Fe/H],-1.708,4.82,6.000,8.24778,,58.60
1,3,M,3500.00,0.41,0.40,0.100,[Fe/H],-1.708,4.82,6.000,8.24778,,58.60
1,3,M,3500.00,0.41,0.40,0.100,[Fe/H],-1.708,4.82,6.000,8.24778,,58.60
1,1,M3.5 V,3370.00,0.38,0.36,0.300,[Fe/H],-1.796,4.83,,9.67547,1.5000,
1,3,M2 V,3371.00,0.41,0.43,,,-1.886,4.81,,8.12507,,-15.07
1,3,M2 V,3371.00,0.41,0.43,,,-1.886,4.81,,8.12507,,-15.07
1,3,M3,3811.50,0.41,0.43,,,-1.609,4.81,,8.12507,,-15.07
1,1,M0V:,4069.95,0.71,0.62,,,-0.905,4.48,,2.07397,,41.62
2,2,M1.5V,3912.54,0.46,0.58,,,-1.222,4.69,0.400,4.64116,1.0000,4.02
2,2,M1/M2 V,3564.00,0.46,0.58,,,-1.553,4.69,0.400,4.64116,1.0000,4.02
1,1,M3.0 V,3451.00,0.36,0.36,-0.030,[Fe/H],-1.772,4.96,,10.05319,2.0000,22.65
1,1,M0.5 V,3542.00,0.52,0.53,,,-1.585,4.72,,5.21124,,11.85
1,2,M3.5,3382.00,0.29,0.29,0.090,[Fe/H],-2.056,4.91,,13.19438,,18.41
1,2,M3.5,3382.00,0.29,0.29,0.090,[Fe/H],-2.056,4.91,,13.19438,,18.41
2,1,G6 V,5540.00,0.90,0.90,0.100,[Fe/H],-0.180,4.70,0.370,2.00940,5.5000,-5.81
1,1,M4,3910.00,0.47,0.47,,,-1.463,4.77,,6.47822,,6.33
1,3,M0,3717.00,0.50,0.68,-0.300,[Fe/H],-1.347,4.63,,3.47127,,13.60
1,3,M0,3717.00,0.50,0.68,-0.300,[Fe/H],-1.347,4.63,,3.47127,,13.60
1,3,M0,3717.00,0.50,0.68,-0.300,[Fe/H],-1.347,4.63,,3.47127,,13.60
