sy_snum,sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_radv
2,2,5146.47,0.74,0.87,-0.034,-0.457,4.63,,2.9836,
2,2,5088.00,0.76,0.75,,,4.55,14.000,,
2,2,5041.00,0.77,0.81,0.020,,4.58,,3.1139,
2,2,5095.00,0.77,0.73,-0.200,,4.53,,7.6776,
2,2,5067.00,0.83,,,,,,,
2,2,5095.00,0.77,0.73,-0.200,,4.53,,7.6776,
2,2,5146.47,0.74,0.87,-0.034,-0.457,4.63,,2.9836,
2,2,5095.00,0.77,0.73,-0.200,,4.53,,7.6776,
1,1,,,,,,,,,
1,1,,,,,,,,,
1,1,5282.00,0.79,0.82,-0.190,,4.57,4.470,,
1,1,5573.00,0.83,0.90,-0.120,,4.56,,2.1701,
1,1,5564.00,0.81,0.91,,,4.58,1.000,,
1,1,5553.00,1.11,0.93,0.140,,4.32,,1.9394,
1,1,5573.00,0.83,0.90,-0.120,,4.56,,2.1701,
1,1,5573.00,0.83,0.90,-0.120,,4.56,,2.1701,
1,1,5366.00,1.02,0.88,0.160,,4.36,,3.5012,
1,1,5559.00,0.81,0.88,-0.180,,4.57,,3.6155,
1,1,6014.00,1.13,1.08,0.020,,4.37,3.310,,
1,1,5667.00,1.25,1.01,,0.160,4.25,,0.7328,
1,1,5559.00,0.81,0.88,-0.180,,4.57,,3.6155,
1,1,5549.00,0.81,0.91,,,4.58,0.500,,
1,1,5365.00,1.27,,,,,,,
1,1,5667.00,1.25,1.01,,0.160,4.25,,0.7328,
1,1,5559.00,0.81,0.88,-0.180,,4.57,,3.6155,
1,4,6678.00,1.24,1.27,,,4.36,0.460,,
1,4,6360.00,1.57,,,,,,,
1,4,6442.00,1.53,1.30,,0.563,4.18,,0.5071,
1,4,6228.00,1.42,1.16,-0.100,,4.19,3.800,,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.4571,
1,4,6442.00,1.53,1.30,,0.563,4.18,,0.5071,
1,4,6021.00,1.46,0.96,-0.340,,4.09,,0.0328,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.4571,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.4571,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.1803,
1,4,6442.00,1.53,1.30,,0.563,4.18,,0.5071,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.1803,
1,4,6360.00,1.57,,,,,,,
1,4,6228.00,1.42,1.16,-0.100,,4.19,3.800,,
1,4,6678.00,1.24,1.27,,,4.36,0.460,,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.1803,
1,4,6021.00,1.46,0.96,-0.340,,4.09,,0.2057,
1,4,6442.00,1.53,1.30,,0.563,4.18,,0.5071,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.6928,
1,4,6442.00,1.53,1.30,,0.563,4.18,,0.5071,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.6928,
1,4,6678.00,1.24,1.27,,,4.36,0.460,,
1,4,6228.00,1.42,1.16,-0.100,,4.19,3.800,,
1,4,6442.00,1.53,1.30,,0.563,4.18,,0.5071,
1,4,6021.00,1.46,0.96,-0.340,,4.09,,0.0097,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.6928,
1,4,6360.00,1.57,,,,,,,
1,4,6228.00,1.42,1.16,-0.100,,4.19,3.800,,
1,4,6442.00,1.53,1.30,,0.563,4.18,,0.5071,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.4240,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.4240,
1,4,6692.00,1.35,1.26,-0.140,,4.28,,0.4240,
1,4,6021.00,1.46,0.96,-0.340,,4.09,,0.1055,
1,4,6442.00,1.53,1.30,,0.563,4.18,,0.5071,
1,4,6678.00,1.24,1.27,,,4.36,0.460,,
1,4,6360.00,1.57,,,,,,,
