pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
Kepler-1388 d,Kepler-1388,1,4,0,20.9568158,0.126,2.86,0.255,8.55,0.0269,M-R relationship,0,8.66,363,0,,4098,0.61,0.63,0.02,[Fe/H],-1.107,4.67,4.47,3.82796,,,,16.2941
Kepler-1388 e,Kepler-1388,1,4,0,37.6327084,0.1861,2.46,0.219,6.62,0.0208,M-R relationship,0,3.97,299,0,,4098,0.61,0.63,0.02,[Fe/H],-1.107,4.67,4.47,3.82796,,,,16.2941
Kepler-1389 b,Kepler-1389,1,1,0,99.2530951,0.3869,1.77,0.158,3.78,0.0119,M-R relationship,0,1.87,300,1,,5078,0.74,0.81,-0.14,[Fe/H],-0.534,4.61,2.09,2.61033,,,,14.6836
Kepler-139 b,Kepler-139,1,2,0,15.771044,0.127,2.94,0.262,8.96,0.0282,M-R relationship,0,64.78,752,0,,5594,1.3,1.05,0.28,[Fe/H],0.016,4.25,5.1,1.09708,,,,12.677
Kepler-139 c,Kepler-139,1,2,0,157.072878,0.586,3.38,0.302,11.4,0.0357,M-R relationship,0,3.02,350,1,,5594,1.3,1.05,0.28,[Fe/H],0.016,4.25,5.1,1.03328,,,,12.677
Kepler-1390 b,Kepler-1390,1,1,0,6.48021673,0.0662,1.18,0.105,1.76,0.00553,M-R relationship,0,171.13,934,0,,5753,0.98,0.98,-0.01,[Fe/H],-0.1,4.45,4.47,1.58258,,,,14.4022
Kepler-1391 b,Kepler-1391,1,1,0,54.4092333,0.2768,1.68,0.15,3.46,0.0109,M-R relationship,0,33.34,513,0,,5840,1.1,1.03,0.04,[Fe/H],0.439,4.36,5.5,0.56867,,,,13.8283
Kepler-1392 b,Kepler-1392,1,1,0,15.1410397,0.1189,1.96,0.175,4.5,0.0142,M-R relationship,0,61.42,714,0,,5479,0.85,0.88,-0.11,[Fe/H],-0.231,4.53,4.68,1.59423,,,,15.6665
Kepler-1393 b,Kepler-1393,1,1,0,2.44357812,0.0337,0.8,0.071,0.437,0.00137,M-R relationship,0,574.37,1249,0,,5697,0.92,0.95,-0.09,[Fe/H],0.151,4.5,3.47,2.00328,,,,13.3324
Kepler-1394 b,Kepler-1394,1,1,0,3.93766373,0.0555,1.39,0.124,2.51,0.0079,M-R relationship,0,2023.01,1947,0,,6481,2.55,1.64,0.06,[Fe/H],0.811,3.84,1.91,0.25209,,,16.02,11.7144
Kepler-1395 b,Kepler-1395,1,1,0,3.78470649,0.0494,0.8,0.071,0.437,0.00137,M-R relationship,0,730.53,1311,0,,6138,1.23,1.17,0.12,[Fe/H],0.277,4.33,2.88,0.82958,,,-11.97,12.536
Kepler-1396 b,Kepler-1396,1,1,0,18.2206421,0.1406,2.07,0.185,4.94,0.0155,M-R relationship,0,71.82,786,0,,6195,1.27,1.18,0.04,[Fe/H],0.204,4.3,2.75,1.17086,,,,14.5271
Kepler-1397 b,Kepler-1397,1,1,0,47.449955,0.2602,1.72,0.153,3.61,0.0113,M-R relationship,0,58.1,551,0,,6026,1.12,1.09,0,[Fe/H],0.591,4.37,3.55,0.33592,,,,14.0909
Kepler-1398 b,Kepler-1398,1,2,0,2.78815679,0.0392,0.9,0.08,0.666,0.0021,M-R relationship,0,1249.49,1510,0,,6126,1.18,1.13,0.01,[Fe/H],0.312,4.34,3.09,0.6169,,,,13.6605
Kepler-1398 c,Kepler-1398,1,2,0,4.13827595,0.051,1.03,0.092,1.08,0.0034,M-R relationship,0,738.18,1324,0,,6126,1.18,1.13,0.01,[Fe/H],0.312,4.34,3.09,0.57705,,,,13.6605
Kepler-1399 b,Kepler-1399,1,1,0,1.63865306,0.0276,1.25,0.112,2.1,0.0066,M-R relationship,0,1707.25,1610,0,,5735,0.96,0.97,-0.03,[Fe/H],0.01,4.47,4.37,1.59008,,,,15.5074
Kepler-140 b,Kepler-140,1,2,0,3.25427,0.045,1.61,0.144,3.22,0.0101,M-R relationship,0,848.7,1301,0,,6077,1.29,1.15,-0.039,[M/H],0.251,4.27,0.88,0.93176,,,-33.41,12.9412
Kepler-140 c,Kepler-140,1,2,0,91.353282,0.414,1.8,0.161,3.89,0.0123,M-R relationship,0,9.96,428,0,,6077,1.29,1.15,-0.039,[M/H],0.251,4.27,0.88,0.95841,,,-33.41,12.9412
Kepler-1400 b,Kepler-1400,1,1,0,9.06689421,0.0771,1.62,0.145,3.26,0.0102,M-R relationship,0,44.52,725,0,,5044,0.78,0.83,0.04,[Fe/H],-0.578,4.58,4.57,2.64871,,,,15.7129
Kepler-1401 b,Kepler-1401,1,1,0,11.20066445,0.0975,1.68,0.15,3.46,0.0109,M-R relationship,0,100.91,808,0,,5964,1.1,1.07,0.04,[Fe/H],0.14,4.39,3.55,1.79107,,,,14.9721
Kepler-1402 b,Kepler-1402,1,1,0,2.03387914,0.0322,0.76,0.068,0.363,0.00114,M-R relationship,0,2491.12,1789,0,,5416,0.87,0.9,0.03,[Fe/H],0.448,4.53,4.57,0.38709,,,,14.6083
Kepler-1403 b,Kepler-1403,1,1,0,5.19492202,0.064,2.14,0.191,5.22,0.0164,M-R relationship,0,699.64,1238,0,,6060,1.15,1.11,0.03,[Fe/H],0.372,4.36,3.31,1.42752,,,,15.5907
Kepler-1404 b,Kepler-1404,1,1,0,15.9314739,0.1143,2.01,0.179,4.7,0.0148,M-R relationship,0,39,596,0,,5261,0.8,0.84,-0.09,[Fe/H],-0.37,4.56,4.57,3.95109,,,,15.7029
Kepler-1405 b,Kepler-1405,1,1,0,28.2274184,0.1778,3.96,0.353,14.9,0.0467,M-R relationship,0,33.8,565,0,,5925,1.07,1.05,0.03,[Fe/H],0.022,4.4,3.63,1.34675,,,,15.8175
