pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
Kepler-1310 b,Kepler-1310,1,1,0,0.67933627,0.0148,1.44,0.128,2.67,0.00839,M-R relationship,0,2830.91,1883,0,,5549,0.88,0.91,-0.07,[Fe/H],-0.192,4.51,4.17,3.18974,,,,14.1223
Kepler-1311 b,Kepler-1311,1,2,0,11.1726994,0.0989,1.24,0.111,2.07,0.00651,M-R relationship,0,296.92,1019,0,,5748,1.4,1.05,0.09,[Fe/H],0.472,4.16,7.59,0.26664,,,,13.3176
Kepler-1311 c,Kepler-1311,1,2,0,2.53573424,0.0368,1.22,0.109,1.98,0.00624,M-R relationship,0,2144.55,1671,0,,5748,1.4,1.05,0.09,[Fe/H],0.472,4.16,7.59,0.26664,,,,13.3176
Kepler-1312 b,Kepler-1312,1,1,0,5.44832529,0.0603,2.1,0.187,5.06,0.0159,M-R relationship,0,219.12,978,0,,5719,0.92,0.99,-0.02,[Fe/H],-0.099,4.51,2,1.6438,,,-8.41,12.3778
Kepler-1313 b,Kepler-1313,1,1,0,3.83309118,0.046,1.76,0.157,3.75,0.0118,M-R relationship,0,227.2,1012,0,,5453,0.85,0.92,0,[Fe/H],-0.325,4.54,2.69,2.56622,,,,11.7892
Kepler-1314 b,Kepler-1314,1,1,0,5.42474928,0.0504,5.11,0.456,22.9,0.072,M-R relationship,0,36.05,625,0,,4188,0.59,0.6,-0.22,[Fe/H],-1.891,4.68,6.03,18.53414,,,,17.1206
Kepler-1315 b,Kepler-1315,1,1,0,0.84338011,0.0163,1.38,0.123,2.48,0.0078,M-R relationship,0,897.9,1541,0,,4861,0.75,0.8,0.07,[Fe/H],-0.628,4.6,3.47,2.49769,,,,14.9517
Kepler-1316 b,Kepler-1316,1,1,0,87.9732136,0.3859,3.54,0.316,12.3,0.0386,M-R relationship,0,10.71,446,0,,5884,1.12,1.04,0.03,[Fe/H],0.253,4.36,5.13,0.25291,,,,13.9509
Kepler-1317 b,Kepler-1317,1,1,0,0.56887443,0.0128,1.56,0.139,3.05,0.00961,M-R relationship,0,2413.26,1796,0,,5144,0.79,0.83,-0.01,[Fe/H],-0.414,4.57,4.79,2.92839,,,,15.2339
Kepler-1318 b,Kepler-1318,1,1,0,213.257663,0.6085,3.11,0.277,9.85,0.031,M-R relationship,0,0.49,202,0,,4598,0.7,0.73,-0.01,[Fe/H],-0.73,4.62,4.57,4.29671,,,,15.2424
Kepler-1320 b,Kepler-1320,1,1,0,0.86838653,0.0163,1.7,0.152,3.53,0.0111,M-R relationship,0,672.11,1389,0,,4817,0.74,0.8,0.1,[Fe/H],-0.729,4.6,3.16,4.76821,,,,15.9045
Kepler-1321 b,Kepler-1321,1,2,0,11.12830484,0.0781,4.92,0.439,21.5,0.0676,M-R relationship,0,13.55,408,0,,4094,0.53,0.54,-0.45,[Fe/H],-0.862,4.73,4.17,3.77092,,,,16.9282
Kepler-1321 c,Kepler-1321,1,2,0,2.22649109,0.0267,2.4,0.214,6.35,0.02,M-R relationship,0,115.91,697,0,,4094,0.53,0.54,-0.45,[Fe/H],-0.862,4.73,4.17,4.17521,,,,16.9282
Kepler-1322 b,Kepler-1322,1,1,0,0.96286738,0.0183,1.61,0.144,3.22,0.0101,M-R relationship,0,2651.42,1666,0,,5488,0.87,0.9,-0.07,[Fe/H],-0.101,4.52,4.47,1.74298,,,,15.7753
Kepler-1323 b,Kepler-1323,1,1,0,0.92990668,0.0191,1.52,0.136,2.92,0.0092,M-R relationship,0,5067.6,2291,0,,6169,1.4,1.18,0.02,[Fe/H],0.295,4.21,3.55,0.75775,,,2.9,12.344
Kepler-1324 b,Kepler-1324,1,1,0,4.11584468,0.0466,1.51,0.135,2.89,0.00909,M-R relationship,0,98.41,895,0,,4776,0.73,0.78,0.05,[Fe/H],-0.673,4.61,2.88,13.69084,,,,15.1336
Kepler-1325 b,Kepler-1325,1,1,0,33.8786838,0.2004,2.86,0.255,8.55,0.0269,M-R relationship,0,18.15,564,0,,5550,0.91,0.93,0.01,[Fe/H],-0.136,4.5,4.79,0.11483,,,,15.1289
Kepler-1326 b,Kepler-1326,1,1,0,42.3514267,0.2743,4.18,0.373,16.3,0.0512,M-R relationship,0,47.84,938,0,,6725,1.74,1.45,0.02,[Fe/H],0.523,4.12,1.7,0.85604,,,4.08,12.7411
Kepler-1327 b,Kepler-1327,1,1,0,14.88801098,0.1186,1.8,0.161,3.89,0.0123,M-R relationship,0,112.85,831,0,,5885,1.03,1.02,-0.03,[Fe/H],0.036,4.42,4.07,0.25852,,,,13.8837
Kepler-1328 b,Kepler-1328,1,1,0,4.52158888,0.0529,0.98,0.087,0.904,0.00284,M-R relationship,0,545.67,1214,0,,5780,0.99,1,0,[Fe/H],0.228,4.44,4.57,0.88677,,,,13.8033
Kepler-1329 b,Kepler-1329,1,1,0,9.33646594,0.0747,2.17,0.194,5.35,0.0168,M-R relationship,0,26.64,577,0,,4500,0.69,0.72,0.02,[Fe/H],-0.771,4.62,5.62,4.94086,8.7,,-14.26,15.8498
Kepler-133 b,Kepler-133,1,2,0,8.129976,0.083,1.76,0.157,3.75,0.0118,M-R relationship,0,408.58,1041,0,,5736,1.43,1.02,0.282,[M/H],0.41,4.19,9.4,0.33482,,,10.16,12.8415
Kepler-133 c,Kepler-133,1,2,0,31.517586,0.204,2.84,0.253,8.45,0.0266,M-R relationship,0,67.16,663,0,,5736,1.43,1.02,0.282,[M/H],0.41,4.19,9.4,0.33482,,,10.16,12.8415
Kepler-1330 b,Kepler-1330,1,1,0,10.10769068,0.0889,1.65,0.147,3.36,0.0106,M-R relationship,0,322.4,879,0,,5608,0.94,0.97,0.08,[Fe/H],0.426,4.48,4.9,1.54105,,,,14.9451
Kepler-1331 b,Kepler-1331,1,1,0,0.78916165,0.0142,1.05,0.094,1.16,0.00364,M-R relationship,0,547.29,1244,0,,4508,0.69,0.72,0.05,[Fe/H],-0.909,4.63,4.17,7.08786,,,,15.0318
Kepler-1332 b,Kepler-1332,1,1,0,11.87456832,0.0986,1.37,0.122,2.45,0.00771,M-R relationship,0,77.56,728,0,,5581,0.9,0.95,0,[Fe/H],-0.137,4.51,3.24,9.95897,,,,13.795
Kepler-1333 b,Kepler-1333,1,1,0,109.6471842,0.4382,2.81,0.251,8.3,0.0261,M-R relationship,0,3.3,428,0,,5628,0.92,0.94,-0.04,[Fe/H],-0.188,4.49,4.57,4.11331,,,,15.1714
Kepler-1334 b,Kepler-1334,1,1,0,15.64591713,0.1229,2.29,0.204,5.86,0.0184,M-R relationship,0,78.36,710,0,,5614,0.91,0.94,-0.03,[Fe/H],0.028,4.5,4.27,2.26608,,,,15.171
Kepler-1335 b,Kepler-1335,1,1,0,6.26406846,0.0615,1.45,0.129,2.7,0.00849,M-R relationship,0,80.74,809,0,,4903,0.74,0.77,-0.07,[Fe/H],-0.555,4.6,4.9,3.76794,,,,15.3037
Kepler-1336 b,Kepler-1336,1,2,0,23.198681,0.1595,1.98,0.177,4.58,0.0144,M-R relationship,0,103.72,793,0,,5512,1.3,0.94,0.05,[Fe/H],0.421,4.18,12.3,0.2217,1.4,,2.45,14.0381
Kepler-1336 c,Kepler-1336,1,2,0,5.77721211,0.0631,1.71,0.153,3.57,0.0112,M-R relationship,0,662.71,1260,0,,5512,1.3,0.94,0.05,[Fe/H],0.421,4.18,12.3,2.8522,1.4,,2.45,14.0381
Kepler-1337 b,Kepler-1337,1,1,0,24.4002549,0.1441,2.41,0.215,6.39,0.0201,M-R relationship,0,9.18,437,0,,4523,0.67,0.7,-0.09,[Fe/H],-0.742,4.64,4.27,1.6892,,,,15.8169
Kepler-1338 b,Kepler-1338,1,1,0,0.93511806,0.0193,0.92,0.082,0.721,0.00227,M-R relationship,0,4712.11,2124,0,,5909,1.05,1.04,0,[Fe/H],0.247,4.41,3.8,1.79611,,,,13.5742
Kepler-1339 b,Kepler-1339,1,1,0,1.34155513,0.0234,0.71,0.063,0.285,0.0009,M-R relationship,0,3094.82,1642,0,,5586,0.93,0.94,0.01,[Fe/H],0.188,4.47,5.62,0.60124,,,-48.79,12.1235
Kepler-134 b,Kepler-134,1,2,0,5.317429,0.06,2,0.178,4.66,0.0147,M-R relationship,0,301.37,1105,0,,5983,1.18,1.06,-0.207,[M/H],0.061,4.31,3.55,1.26196,,,-27.16,12.2219
Kepler-134 c,Kepler-134,1,2,0,10.105785,0.092,1.26,0.112,2.13,0.00669,M-R relationship,0,128.09,892,0,,5983,1.18,1.06,-0.207,[M/H],0.061,4.31,3.55,1.26196,,,-27.16,12.2219
Kepler-1340 b,Kepler-1340,1,1,0,0.66502692,0.0153,1.55,0.138,3.02,0.00951,M-R relationship,0,4793,2174,0,,6331,1.42,1.27,0.07,[Fe/H],0.087,4.24,2.4,1.16531,,,,14.7546
Kepler-1342 b,Kepler-1342,1,1,0,2.21571036,0.0313,1.66,0.148,3.39,0.0107,M-R relationship,0,559.27,1283,0,,5527,0.9,0.93,0.03,[Fe/H],-0.261,4.51,4.37,2.72102,,,,15.3835
Kepler-1343 b,Kepler-1343,1,1,0,3.35183158,0.0449,1.93,0.172,4.38,0.0138,M-R relationship,0,1021.9,1294,0,,5759,0.93,0.95,-0.16,[Fe/H],0.195,4.48,3.98,3.86246,,,,15.5297
Kepler-1344 b,Kepler-1344,1,1,0,4.7683049,0.0568,1.84,0.164,4.04,0.0127,M-R relationship,0,425.17,1219,0,,5981,1.13,1.09,0.06,[Fe/H],0.146,4.37,3.63,1.22394,,,,14.0269
Kepler-1345 b,Kepler-1345,1,1,0,44.6169557,0.2638,2.36,0.211,6.17,0.0194,M-R relationship,0,68.47,693,0,,6449,1.55,1.32,0.04,[Fe/H],0.693,4.18,2.24,0.87009,,,,13.705
Kepler-1346 b,Kepler-1346,1,1,0,3.40165668,0.044,1.58,0.141,3.12,0.00982,M-R relationship,0,545.58,1236,0,,6133,1.21,1.14,0.04,[Fe/H],-0.008,4.33,3.09,4.71885,,,,14.462
Kepler-1347 b,Kepler-1347,1,1,0,14.00947528,0.104,1.03,0.092,1.08,0.0034,M-R relationship,0,34.32,617,0,,5193,0.79,0.82,-0.11,[Fe/H],-0.388,4.57,5.62,3.08057,,,,13.4122
Kepler-1348 b,Kepler-1348,1,1,0,27.5722742,0.1834,1.94,0.173,4.42,0.0139,M-R relationship,0,49.66,636,0,,5911,1.04,1.04,-0.01,[Fe/H],0.204,4.42,3.72,0.98819,,,,14.6789
Kepler-1349 b,Kepler-1349,1,1,0,2.12823928,0.0341,0.7,0.062,0.271,0.00085,M-R relationship,0,1862.33,1668,0,,6086,1.28,1.16,0.03,[Fe/H],0.343,4.29,2.88,0.48407,,,-29.14,11.0821
Kepler-135 b,Kepler-135,1,2,0,6.00253,0.067,1.81,0.161,3.93,0.0124,M-R relationship,0,496.68,1209,0,,6090,1.27,1.25,-0.105,[M/H],0.448,4.27,2.62,0.41241,,,,12.6789
Kepler-135 c,Kepler-135,1,2,0,11.448708,0.103,1.16,0.103,1.65,0.00521,M-R relationship,0,209.97,975,0,,6090,1.27,1.25,-0.105,[M/H],0.448,4.27,2.62,0.41241,,,,12.6789
Kepler-1350 b,Kepler-1350,1,2,0,4.4968604,0.0413,2.52,0.225,6.9,0.0217,M-R relationship,0,27.18,535,0,,3827,0.53,0.55,-0.06,[Fe/H],-1.283,4.74,4.57,4.9823,,,,16.2331
Kepler-1350 c,Kepler-1350,1,2,0,1.76678906,0.0222,1.73,0.154,3.64,0.0115,M-R relationship,0,94.05,730,0,,3827,0.53,0.55,-0.06,[Fe/H],-1.283,4.74,4.57,4.9823,,,,16.2331
Kepler-1351 b,Kepler-1351,1,1,0,0.91614077,0.0156,0.65,0.058,0.208,0.00065,M-R relationship,0,421.96,1212,0,,4439,0.67,0.7,-0.03,[Fe/H],-0.983,4.64,4.17,4.81851,,,,14.0866
Kepler-1352 b,Kepler-1352,1,1,0,1.87788275,0.03,0.89,0.079,0.64,0.00201,M-R relationship,0,1892.59,1701,0,,6118,1.16,1.11,0,[Fe/H],0.263,4.35,3.16,0.71771,,,,13.2495
Kepler-1353 b,Kepler-1353,1,1,0,24.7543966,0.153,1.8,0.161,3.89,0.0123,M-R relationship,0,10.77,491,0,,4776,0.72,0.76,-0.06,[Fe/H],-0.615,4.61,4.68,3.04244,,,,15.5059
Kepler-1354 b,Kepler-1354,1,1,0,76.613377,0.3521,2.97,0.265,9.11,0.0287,M-R relationship,0,18.86,466,0,,6168,1.24,1.16,0.03,[Fe/H],0.302,4.31,2.95,0.22525,,,,14.3687
Kepler-1355 b,Kepler-1355,1,1,0,1.28958811,0.0224,1.46,0.13,2.73,0.00859,M-R relationship,0,944.87,1448,0,,5352,0.83,0.88,-0.04,[Fe/H],-0.329,4.55,4.27,3.16032,,,,15.452
Kepler-1356 b,Kepler-1356,1,1,0,0.63400294,0.0136,1.53,0.136,2.96,0.0093,M-R relationship,0,1966.06,1714,0,,5106,0.78,0.82,-0.02,[Fe/H],-0.486,4.58,4.9,6.80724,,,,15.7195
