default_flag,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_masse,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
1,1,3,123.01000000,,,,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,,1.9000,,
1,1,2,735.10000000,,,,4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,4.300,,,,
0,1,2,796.00000000,,,,4794.52,4.91,,0.088,[M/H],,,,,,,
0,1,2,763.00000000,,,,4792.00,2.30,1.52,0.210,[Fe/H],1.053,3.25,,,1.1500,,
1,1,2,996.00000000,,,,4826.00,4.87,1.34,0.210,[Fe/H],1.063,3.19,4.300,,,,
0,1,1,116.69335000,,,,5481.86,1.92,1.06,-0.040,[Fe/H],,3.89,,,,,
1,1,1,116.68800000,,,,5495.00,1.89,1.09,,,,3.95,,,,,
0,1,1,116.69260000,,,,5439.00,1.94,1.09,-0.090,[Fe/H],0.451,3.90,7.770,,1.5600,,
0,1,1,116.68900000,,,,,,,,,,,,,,,4.95
0,1,1,116.68840000,,,2380.45000,5545.00,,1.11,-0.012,[Fe/H],,4.07,8.000,,2.6800,,
0,1,1,116.68840000,,,,5531.00,1.84,1.14,-0.060,[Fe/H],,3.97,,,,,
1,2,1,691.90000000,,,,4846.00,10.50,2.49,0.000,[Fe/H],1.730,2.63,,,1.7700,,
0,1,1,93.40000000,,,,4847.40,9.90,1.80,-0.030,[Fe/H],,2.57,1.700,,3.6000,,
1,1,1,93.40000000,,,,4847.00,10.30,1.44,-0.030,[Fe/H],,2.57,,,,,
0,1,1,,,,,,,1.60,,,,,,,,,
1,1,1,952.70000000,,,,4785.00,11.00,2.40,-0.060,[Fe/H],1.778,2.35,,,1.8000,,
1,3,1,181.40000000,,,,4665.00,11.00,1.40,-0.030,[Fe/H],,2.52,3.560,,3.9000,,-25.75
1,1,1,,,,4290.50000,,,,,,,,0.030,,,,
